Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Alaa Abdelnaby,1991,1995,5,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kareem Abdul-Jabbar,1970,1989,20,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,19,15,0,1,11,0,2,0,0,0,1,0,0,2,6,6,1,0,1.0
Mahmoud Abdul-Rauf,1991,2001,11,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Tariq Abdul-Wahad,1998,2003,6,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Shareef Abdur-Rahim,1997,2008,12,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tom Abernethy,1977,1981,5,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alex Acker,2006,2009,4,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Acres,1988,1993,6,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alvan Adams,1976,1988,13,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Hassan Adams,2007,2009,3,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Adams,2015,2016,2,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Michael Adams,1986,1996,11,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rafael Addison,1987,1997,11,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeff Adrien,2011,2015,5,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Maurice Ager,2007,2011,5,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Aguirre,1982,1994,13,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Blake Ahearn,2008,2012,5,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Danny Ainge,1982,1995,14,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Josh Akognon,2013,2013,1,3,1.7,0.3,0.3,50.0,50.0,73.7,62.5,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Solomon Alabi,2011,2012,2,26,1.5,2.3,0.2,31.4,14.2,70.0,31.4,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Alarie,1987,1991,5,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Furkan Aldemir,2015,2015,1,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chuck Aleksinas,1985,1985,1,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cliff Alexander,2016,2016,1,8,1.3,0.8,0.0,50.0,23.4,67.6,50.0,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cory Alexander,1996,2005,10,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Courtney Alexander,2001,2003,3,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Gary Alexander,1994,1994,1,11,1.7,1.4,0.2,57.1,23.4,33.3,57.1,8.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Joe Alexander,2009,2010,2,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Victor Alexander,1992,2002,11,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve Alford,1988,1991,4,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jerome Allen,1996,1997,2,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Malik Allen,2002,2011,10,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Randy Allen,1989,1990,2,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ray Allen,1997,2014,18,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1.0
Lance Allred,2008,2008,1,3,1.0,0.3,0.0,25.0,14.2,50.0,25.0,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darrell Allums,1981,1981,1,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Morris Almond,2008,2012,5,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Derrick Alston,1995,1997,3,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rafer Alston,2000,2010,11,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Peter Aluma,1999,1999,1,2,1.0,1.0,0.0,50.0,14.2,62.5,50.0,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
John Amaechi,1996,2003,8,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashraf Amaya,1996,1997,2,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lou Amundson,2007,2016,10,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
David Andersen,2010,2011,2,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Antonio Anderson,2010,2010,1,1,2.0,1.0,0.0,33.3,27.9,73.7,33.3,-1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Derek Anderson,1998,2008,11,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Dwight Anderson,1983,1983,1,5,4.2,0.4,0.6,50.0,27.9,70.0,50.0,10.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eric Anderson,1993,1994,2,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Anderson,1988,1998,11,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J.J. Anderson,1983,1985,3,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Anderson,2011,2016,6,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kenny Anderson,1992,2005,14,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Michael Anderson,1989,1989,1,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nick Anderson,1990,2002,13,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Richard Anderson,1983,1990,8,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ron Anderson,1985,1994,10,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Shandon Anderson,1997,2006,10,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Willie Anderson,1989,1997,9,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Martynas Andriuškevičius,2006,2006,1,6,0.0,0.7,0.0,0.0,14.2,62.5,0.0,15.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Michael Ansley,1990,1992,3,149,6.9,4.2,0.4,51.3,23.4,72.2,51.3,17.0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chris Anstey,1998,2000,3,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Anthony,1992,2002,11,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pero Antić,2014,2015,2,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Keith Appling,2016,2016,1,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rafael Araújo,2005,2007,3,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Robert Archibald,2003,2004,2,44,1.2,1.6,0.4,28.3,23.4,42.9,28.3,4.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tiny Archibald,1971,1984,14,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4,6,5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1.0
Gilbert Arenas,2002,2012,11,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Joe Arlauckas,1988,1988,1,9,3.8,1.4,0.9,32.6,23.4,75.0,32.6,7.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
B.J. Armstrong,1990,2000,11,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
Brandon Armstrong,2002,2004,3,108,2.2,0.6,0.2,35.2,33.3,60.0,39.5,4.9,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darrell Armstrong,1995,2008,14,840,9.2,2.7,4.0,40.9,33.4,87.1,48.0,16.3,49.8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
Hilton Armstrong,2007,2014,8,292,3.0,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Carlos Arroyo,2002,2011,10,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Vincent Askew,1988,1998,11,467,7.1,2.5,2.2,47.9,30.0,75.4,49.4,12.6,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Keith Askins,1991,1999,9,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chucky Atkins,2000,2010,11,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Stacey Augmon,1992,2006,15,1001,8.0,3.2,1.6,46.9,15.2,72.8,47.0,13.7,43.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Augustine,2007,2008,2,27,1.6,1.2,0.1,51.4,23.4,50.0,51.4,11.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Isaac Austin,1992,2002,11,432,7.6,4.7,1.2,44.6,17.6,67.0,44.8,13.0,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Ken Austin,1984,1984,1,7,1.7,0.4,0.1,46.2,23.4,67.6,46.2,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anthony Avent,1993,2000,8,352,5.6,4.5,0.8,40.3,0.0,68.6,40.3,8.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
William Avery,2000,2002,3,142,2.7,0.7,1.4,33.0,25.5,71.4,37.8,7.3,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dennis Awtrey,1971,1982,12,733,4.8,4.6,2.0,45.9,14.2,65.2,45.9,10.5,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Gustavo Ayón,2012,2014,3,135,4.7,4.4,1.3,53.6,0.0,50.4,53.6,14.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeff Ayres,2010,2016,7,237,2.9,2.7,0.4,55.3,40.0,77.6,55.5,12.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Kelenna Azubuike,2007,2012,6,208,10.5,4.0,1.1,45.9,40.9,77.0,51.9,14.3,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chris Babb,2014,2014,1,14,1.6,1.2,0.2,26.7,22.2,73.7,36.7,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Miloš Babić,1991,1992,2,21,1.8,1.0,0.5,37.5,17.7,65.0,37.5,10.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dalibor Bagarić,2001,2003,3,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
John Bagley,1983,1994,12,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Carl Bailey,1982,1982,1,1,2.0,0.0,0.0,100.0,14.2,62.5,100.0,-6.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Bailey,1980,1988,9,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Thurl Bailey,1984,1999,16,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Toby Bailey,1999,2000,2,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cameron Bairstow,2015,2016,2,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mark Baker,1999,1999,1,1,0.0,0.0,0.0,0.0,27.9,73.7,0.0,-46.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Maurice Baker,2005,2005,1,5,0.0,0.4,0.2,0.0,27.9,73.7,0.0,-0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Vin Baker,1994,2006,13,791,15.0,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47.0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Renaldo Balkman,2007,2012,6,221,4.0,3.5,0.6,51.0,17.2,54.2,51.8,14.3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cedric Ball,1991,1991,1,7,1.1,1.6,0.0,37.5,23.4,100.0,37.5,10.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Ballard,1978,1989,12,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Gene Banks,1982,1987,6,468,11.3,5.8,2.9,53.9,4.3,73.0,53.9,15.1,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Marcus Banks,2004,2011,8,348,5.9,1.5,2.1,43.2,32.7,76.8,46.9,12.2,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ken Bannister,1985,1991,7,253,5.9,3.5,0.4,48.8,0.0,49.2,48.8,8.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mike Bantom,1974,1982,9,706,12.1,6.4,2.3,46.8,20.0,69.2,46.8,14.3,34.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve Bardo,1992,1996,5,33,2.2,1.8,1.3,32.9,10.0,69.6,33.5,8.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andrea Bargnani,2007,2016,10,550,14.3,4.6,1.2,43.9,35.4,82.4,48.6,14.4,18.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Charles Barkley,1985,2000,16,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2,11,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1.0
Erick Barkley,2001,2002,2,27,2.9,0.8,1.5,35.6,26.7,90.0,37.8,9.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andre Barrett,2005,2008,4,67,3.3,1.1,2.0,36.9,24.6,72.7,40.5,9.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Earl Barron,2006,2015,10,140,4.6,3.5,0.5,37.1,16.7,70.2,37.3,8.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dana Barros,1990,2004,15,850,10.5,1.9,3.3,46.0,41.1,85.8,53.6,16.4,49.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Brent Barry,1996,2009,14,912,9.3,3.0,3.2,46.0,40.5,82.3,57.0,15.7,70.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Drew Barry,1998,2000,3,60,2.2,1.1,1.9,41.7,38.1,77.4,53.4,9.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jon Barry,1993,2006,14,821,5.7,1.8,2.2,43.4,39.2,84.8,52.4,14.7,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eddie Basden,2006,2006,1,19,2.1,1.5,0.4,40.5,14.3,80.0,41.9,10.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Maceo Baston,2003,2009,7,105,2.7,1.7,0.2,61.6,37.5,74.0,62.5,14.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mengke Bateer,2002,2004,3,46,3.4,2.5,0.6,39.1,33.3,74.4,40.7,6.4,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Billy Ray Bates,1980,1983,4,187,11.7,1.7,1.9,47.4,30.3,79.6,48.3,18.1,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Esteban Batista,2006,2007,2,70,1.7,2.5,0.2,43.8,0.0,61.7,43.8,7.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mike Batiste,2003,2003,1,75,6.4,3.4,0.7,42.2,22.2,78.4,44.1,12.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tony Battie,1998,2012,15,837,6.1,5.1,0.6,48.8,16.2,69.0,49.0,12.6,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Shane Battier,2002,2014,13,977,8.6,4.2,1.8,43.7,38.4,74.3,52.9,12.6,75.7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
John Battle,1986,1995,10,612,8.7,1.3,2.1,46.4,27.3,79.3,47.1,13.7,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kenny Battle,1990,1993,4,134,4.7,2.4,0.8,50.4,13.3,72.5,50.8,12.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dave Batton,1983,1984,2,58,3.2,2.1,0.6,44.8,0.0,47.1,44.8,10.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lonny Baxter,2003,2006,4,162,3.9,2.9,0.2,46.6,20.0,65.7,46.7,11.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Sergei Bazarevich,1995,1995,1,10,3.0,0.7,1.4,50.0,16.7,77.8,52.3,13.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jerome Beasley,2004,2004,1,2,1.0,0.5,0.0,33.3,23.4,67.6,33.3,5.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rodrigue Beaubois,2010,2013,4,182,7.1,1.9,2.1,43.9,32.5,81.0,49.6,14.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Corey Beck,1996,1999,4,88,2.7,1.4,1.4,45.1,60.0,68.4,45.9,9.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
William Bedford,1987,1993,7,238,4.1,2.4,0.5,41.6,31.8,60.5,41.9,9.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Charlie Bell,2002,2011,10,376,8.5,2.2,2.3,41.2,36.1,76.9,48.8,11.2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Raja Bell,2001,2012,12,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Troy Bell,2004,2004,1,6,1.8,0.7,0.7,22.2,0.0,100.0,22.2,-4.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jonathan Bender,2000,2010,11,262,5.5,2.2,0.6,41.7,34.0,76.3,45.8,10.9,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jerrelle Benimon,2015,2015,1,2,0.0,1.5,0.0,41.0,23.4,67.6,45.3,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Benoit Benjamin,1986,2000,15,807,11.4,7.5,1.3,49.7,4.8,72.1,49.7,14.8,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Corey Benjamin,1999,2003,5,153,5.5,1.7,0.9,39.0,28.9,65.2,42.5,8.9,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Elmer Bennett,1995,1997,3,21,2.3,0.5,1.0,34.0,27.3,72.2,37.2,6.2,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mario Bennett,1996,2000,5,68,4.0,2.7,0.4,53.4,33.3,51.1,53.6,18.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mel Bennett,1976,1982,7,204,6.9,4.7,1.0,38.2,0.0,60.9,38.2,10.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tony Bennett,1993,1995,3,152,3.5,1.0,2.0,41.2,33.5,73.2,46.4,9.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Winston Bennett,1990,1992,3,136,4.8,3.0,0.9,42.5,0.0,69.4,42.5,8.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
David Benoit,1992,2001,10,492,7.0,4.0,0.6,43.8,31.9,79.5,47.2,12.0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
