Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Dan Godfread,1991,1992,2,11,1.2,0.2,0.0,41.7,0.0,75.0,41.7,18.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anthony Goldwire,1996,2006,11,266,6.3,1.3,2.8,40.7,38.6,79.2,47.9,12.7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ryan Gomes,2006,2014,9,487,10.1,4.6,1.5,44.5,34.9,79.9,48.4,12.5,19.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Glen Gondrezick,1978,1983,6,435,5.8,4.5,1.4,47.3,14.3,72.4,47.4,13.7,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Grant Gondrezick,1987,1989,3,91,5.0,1.6,1.3,43.8,25.0,68.7,44.7,11.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Drew Gooden,2003,2016,14,790,11.0,7.1,1.1,46.2,25.7,76.0,46.8,16.3,43.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve Goodrich,2001,2002,2,21,1.1,1.2,0.5,32.1,33.3,55.6,33.9,2.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Gordon,2005,2015,11,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Drew Gordon,2015,2015,1,9,1.9,2.0,0.2,42.1,0.0,50.0,42.1,3.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lancaster Gordon,1985,1988,4,201,5.6,1.3,1.5,39.1,27.1,76.7,40.0,9.4,-2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andrew Goudelock,2012,2016,5,49,4.0,0.7,0.5,39.3,34.5,87.5,46.7,8.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ricky Grace,1994,1994,1,3,1.3,0.3,0.3,66.7,27.9,0.0,66.7,10.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Graham,1994,1998,5,207,4.5,1.1,1.0,40.7,29.0,77.5,43.7,10.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Joey Graham,2006,2011,6,377,5.9,2.8,0.5,48.3,30.0,81.5,49.8,11.0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Orlando Graham,1989,1989,1,7,1.1,1.6,0.0,30.0,23.4,50.0,30.0,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Paul Graham,1992,1994,3,179,8.4,2.4,2.0,44.8,33.9,73.9,48.7,13.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Stephen Graham,2006,2011,6,239,4.0,1.8,0.5,44.6,30.8,76.6,47.7,8.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jim Grandholm,1991,1991,1,26,3.0,1.9,0.3,51.7,52.9,47.6,59.5,16.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ron Grandison,1989,1996,8,105,2.4,1.6,0.6,40.4,16.7,71.3,41.3,9.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Danny Granger,2006,2015,10,586,16.8,4.9,1.9,43.4,38.0,84.8,50.0,16.9,48.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Stewart Granger,1984,1987,4,80,4.0,1.0,2.2,41.4,23.5,74.2,42.1,8.4,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Brian Grant,1995,2006,12,756,10.5,7.4,1.2,49.0,21.4,74.6,49.1,14.9,54.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Gary Grant,1989,2001,13,552,7.9,2.3,5.5,45.0,27.8,77.6,46.2,13.4,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Grant,1990,1996,7,274,2.8,0.9,2.7,38.3,28.1,71.0,40.8,9.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Harvey Grant,1989,1999,11,783,9.9,4.4,1.6,46.9,26.7,70.9,47.3,12.7,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Horace Grant,1988,2004,17,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16.0,118.2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
Josh Grant,1994,1994,1,53,3.0,1.7,0.5,40.4,27.9,75.9,46.2,11.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Paul Grant,1999,2004,6,16,1.8,1.1,0.2,44.8,14.2,37.5,44.8,4.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
